id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
203163,Long Stay Cute Studio zone 1,460272,Antonia Clare,,Southwark,51.48579,762.2048571,Private room,58,1,85,21-08-2022,0.64,8,21,7
207912,Ensuite Room with double bed London,1023326,Jocelyn,,Croydon,51.3676,768.4865714,Private room,45,2,69,27-08-2022,0.52,3,269,6
210010,Spacious 1 bedrm flat ideal location  FAST WiFI,1035217,Ksenia,,Westminster,51.51566,774.7682857,Entire home/apt,94,7,12,27-10-2019,0.09,1,0,0
214755,"Luxury designer 2 bed flat, heart of Notting Hill",1026967,James,,Kensington and Chelsea,51.51146,781.05,Entire home/apt,595,7,31,30-07-2022,0.74,2,209,10
216350,Double Room Hammersmith/Fulham Border By River,1116804,Debbie,,Hammersmith and Fulham,51.47928,787.3317143,Private room,83,1,259,07-08-2022,1.95,4,329,42
228195,Bright sunny appt on garden square,940283,Andrew,,Kensington and Chelsea,51.48829,793.6134286,Entire home/apt,101,40,71,05-09-2022,0.6,1,64,10
229684,Bright room on park near city 7,448365,Roland,,Lewisham,51.48793,799.8951429,Private room,30,1,22,06-11-2016,0.23,3,0,0
230839,Spacious loft conversion - Hackney,671259,Kiki,,Hackney,51.5368,806.1768571,Entire home/apt,90,7,4,16-08-2012,0.03,1,0,0
231452,2 bed-apartment in Chelsea,1210175,Ungelie,,Hammersmith and Fulham,51.47118,812.4585714,Private room,90,1,5,03-07-2022,0.04,1,352,2
231692,Cool room - Dalston -,1211430,Janina,,Islington,51.54818,818.7402857,Private room,48,20,38,11-08-2022,0.3,2,31,4
231854,Self Contained Stylish Loft Studio in Clerkenwell,259088,Simon,,Islington,51.52153,825.022,Private room,147,4,419,30-08-2022,3.18,5,233,37
232983,Cozy room in a two bed stunning flat,1219410,Kobi,,Southwark,51.48668,831.3037143,Private room,59,3,244,15-03-2020,1.85,3,1,0
236956,Five minute walk to South Bank,979363,Donovan,,Lambeth,51.50363,837.5854286,Private room,58,1,535,08-09-2022,4.05,7,311,45
237907,Lift & balcony | 3 tube lines | St Paul's nearby,67625,The Team At The London Agent,,Islington,51.52022,843.8671429,Entire home/apt,313,3,70,26-08-2022,0.53,8,219,11
238349,Beautiful one bed ground floor flat,1249927,Katherine,,Hammersmith and Fulham,51.49609,850.1488571,Entire home/apt,120,6,130,31-07-2022,1.03,1,1,9
238440,"Notting Hill, next to Portobello Rd",1210195,Chris,,Kensington and Chelsea,51.5191,856.4305714,Entire home/apt,150,4,17,20-08-2018,0.13,1,0,0
238711,Modern Notting Hill Apartment/flat,1251427,Benjamin,,Kensington and Chelsea,51.51156,862.7122857,Entire home/apt,172,90,189,02-01-2020,1.42,2,41,0
239697,"Kilburn Tube, Single Person, Quiet. Light",1256723,Elaine,,Brent,51.54491,868.994,Private room,55,3,94,09-12-2019,0.71,1,0,0
240734,"Stylish flat in Hackney, London",1262783,Zoë,,Hackney,51.57542,875.2757143,Entire home/apt,75,3,4,01-10-2012,0.03,2,0,0
